nohup: ignoring input
[INFO] [Thread-548271853600] Iniciando servidor HTTP...
[INFO] [Thread-548271853600] Ruta registrada: GET /
[INFO] [Thread-548271853600] Stream  Handler inicializado
[INFO] [Thread-548271853600] Ruta registrada: GET /stream
[INFO] [Thread-548271853600] LinuxSocketServer listening on port 8080
[DEBUG] [Thread-548067267104] Hay 0 Clientes conectados
[DEBUG] [Thread-548067267104] Hay 0 Clientes conectados
[DEBUG] [Thread-548067267104] Hay 0 Clientes conectados
[DEBUG] [Thread-548067267104] Hay 0 Clientes conectados
[DEBUG] [Thread-548067267104] Hay 0 Clientes conectados
[DEBUG] [Thread-548067267104] Hay 0 Clientes conectados
[DEBUG] [Thread-548067267104] Hay 0 Clientes conectados
[INFO] [Thread-548058812960] handleClient: bytesReceived = 84 en socket 4
[INFO] [Thread-548058812960] Metodo: GET, Path: /stream
[INFO] [Thread-548058812960] Ruta encontrada: GET /stream
[DEBUG] [Thread-548067267104] Hay 1 Clientes conectados
[DEBUG] [Thread-548067267104] Hay 1 Clientes conectados
[DEBUG] [Thread-548067267104] Hay 1 Clientes conectados
[DEBUG] [Thread-548067267104] Hay 1 Clientes conectados
[INFO] [Thread-548058812960] Conexion cerrada en 4
[DEBUG] [Thread-548067267104] Hay 1 Clientes conectados
[DEBUG] [Thread-548067267104] Hay 0 Clientes conectados
[DEBUG] [Thread-548067267104] Hay 0 Clientes conectados
[DEBUG] [Thread-548067267104] Hay 0 Clientes conectados
[DEBUG] [Thread-548067267104] Hay 0 Clientes conectados
[DEBUG] [Thread-548067267104] Hay 0 Clientes conectados
[DEBUG] [Thread-548067267104] Hay 0 Clientes conectados
[DEBUG] [Thread-548067267104] Hay 0 Clientes conectados
[DEBUG] [Thread-548067267104] Hay 0 Clientes conectados
[DEBUG] [Thread-548067267104] Hay 0 Clientes conectados
[DEBUG] [Thread-548067267104] Hay 0 Clientes conectados
[DEBUG] [Thread-548067267104] Hay 0 Clientes conectados
[DEBUG] [Thread-548067267104] Hay 0 Clientes conectados
[DEBUG] [Thread-548067267104] Hay 0 Clientes conectados
[DEBUG] [Thread-548067267104] Hay 0 Clientes conectados
[DEBUG] [Thread-548067267104] Hay 0 Clientes conectados
[DEBUG] [Thread-548067267104] Hay 0 Clientes conectados
[DEBUG] [Thread-548067267104] Hay 0 Clientes conectados
[DEBUG] [Thread-548067267104] Hay 0 Clientes conectados
[DEBUG] [Thread-548067267104] Hay 0 Clientes conectados
[DEBUG] [Thread-548067267104] Hay 0 Clientes conectados
[DEBUG] [Thread-548067267104] Hay 0 Clientes conectados
[DEBUG] [Thread-548067267104] Hay 0 Clientes conectados
[DEBUG] [Thread-548067267104] Hay 0 Clientes conectados
[DEBUG] [Thread-548067267104] Hay 0 Clientes conectados
[DEBUG] [Thread-548067267104] Hay 0 Clientes conectados
[DEBUG] [Thread-548067267104] Hay 0 Clientes conectados
[DEBUG] [Thread-548067267104] Hay 0 Clientes conectados
[DEBUG] [Thread-548067267104] Hay 0 Clientes conectados
[DEBUG] [Thread-548067267104] Hay 0 Clientes conectados
[DEBUG] [Thread-548067267104] Hay 0 Clientes conectados
[DEBUG] [Thread-548067267104] Hay 0 Clientes conectados
[DEBUG] [Thread-548067267104] Hay 0 Clientes conectados
[DEBUG] [Thread-548067267104] Hay 0 Clientes conectados
[DEBUG] [Thread-548067267104] Hay 0 Clientes conectados
[DEBUG] [Thread-548067267104] Hay 0 Clientes conectados
[DEBUG] [Thread-548067267104] Hay 0 Clientes conectados
[DEBUG] [Thread-548067267104] Hay 0 Clientes conectados
[DEBUG] [Thread-548067267104] Hay 0 Clientes conectados
[DEBUG] [Thread-548067267104] Hay 0 Clientes conectados
